Label,auction_list_0
1,"[""IAB3"",""utilities""]"
1,"[""IAB1"",""social_networking"",""IAB24"",""entertainment""]"
1,"[""IAB9-30""]"
1,"[""IAB3"",""productivity"",""utilities""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB24"",""IAB14""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB3"",""lifestyle"",""utilities"",""IAB14""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB9-30""]"
1,"[""IAB14""]"
1,"[""social_networking"",""IAB24""]"
1,"[""IAB3"",""lifestyle"",""utilities"",""IAB14""]"
1,"[""lifestyle"",""healthcare_and_fitness"",""IAB14"",""IAB7""]"
1,"[""social_networking"",""IAB24""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB9-30""]"
1,"[""IAB9-30""]"
1,"[""IAB3"",""productivity"",""utilities""]"
1,"[""social_networking"",""IAB24""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB9"",""IAB1-6""]"
1,"[""IAB9-30"",""IAB9"",""games""]"
1,"[""social_networking"",""IAB24"",""lifestyle"",""IAB14""]"
1,"[""healthcare_and_fitness"",""IAB7""]"
1,"[""social_networking"",""IAB24""]"
1,"[""IAB9-30"",""IAB1"",""entertainment"",""games"",""IAB9""]"
1,"[""IAB3""]"
1,"[""IAB9-30"",""IAB1"",""IAB19"",""IAB21""]"
1,"[""IAB9-30""]"
1,"[""IAB3"",""productivity""]"
1,"[""healthcare_and_fitness"",""IAB7""]"
1,"[""IAB9-30""]"
1,"[""IAB1""]"
1,"[""IAB9-30"",""IAB1"",""entertainment"",""games"",""IAB9""]"
1,"[""lifestyle"",""healthcare_and_fitness"",""IAB14"",""IAB7""]"
1,"[""IAB15-10"",""weather"",""IAB3"",""utilities"",""IAB15""]"
1,"[""healthcare_and_fitness"",""IAB7""]"
1,"[""IAB9-30""]"
1,"[""IAB1"",""social_networking"",""IAB24"",""entertainment""]"
1,"[""IAB3"",""lifestyle"",""utilities"",""IAB14""]"
1,"[""IAB9"",""IAB5"",""IAB1""]"
1,"[""IAB9-30""]"
1,"[""IAB24"",""IAB14""]"
1,"[""IAB9-30"",""IAB9"",""games"",""IAB17"",""sports""]"
1,"[""IAB9-30""]"
1,"[""IAB3"",""utilities""]"
1,"[""IAB1""]"
1,"[""IAB1"",""IAB9""]"
1,"[""IAB3"",""productivity""]"
1,"[""IAB1"",""entertainment""]"
1,"[""IAB3"",""productivity"",""utilities""]"
1,"[""social_networking"",""IAB24""]"
