0,1,2,3,4
"""IAB3""","""utilities""",,,
"""IAB1""","""social_networking""","""IAB24""","""entertainment""",
"""IAB9-30""",,,,
"""IAB3""","""productivity""","""utilities""",,
"""IAB3""","""utilities""",,,
"""IAB24""","""IAB14""",,,
"""IAB3""","""utilities""",,,
"""IAB3""","""lifestyle""","""utilities""","""IAB14""",
"""IAB3""","""utilities""",,,
"""IAB9-30""",,,,
"""IAB14""",,,,
"""social_networking""","""IAB24""",,,
"""IAB3""","""lifestyle""","""utilities""","""IAB14""",
"""lifestyle""","""healthcare_and_fitness""","""IAB14""","""IAB7""",
"""social_networking""","""IAB24""",,,
"""IAB3""","""utilities""",,,
"""IAB9-30""",,,,
"""IAB9-30""",,,,
"""IAB3""","""productivity""","""utilities""",,
"""social_networking""","""IAB24""",,,
"""IAB3""","""utilities""",,,
"""IAB3""","""utilities""",,,
"""IAB9""","""IAB1-6""",,,
"""IAB9-30""","""IAB9""","""games""",,
"""social_networking""","""IAB24""","""lifestyle""","""IAB14""",
"""healthcare_and_fitness""","""IAB7""",,,
"""social_networking""","""IAB24""",,,
"""IAB9-30""","""IAB1""","""entertainment""","""games""","""IAB9"""
"""IAB3""",,,,
"""IAB9-30""","""IAB1""","""IAB19""","""IAB21""",
"""IAB9-30""",,,,
"""IAB3""","""productivity""",,,
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB9-30""",,,,
"""IAB1""",,,,
"""IAB9-30""","""IAB1""","""entertainment""","""games""","""IAB9"""
"""lifestyle""","""healthcare_and_fitness""","""IAB14""","""IAB7""",
"""IAB15-10""","""weather""","""IAB3""","""utilities""","""IAB15"""
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB9-30""",,,,
"""IAB1""","""social_networking""","""IAB24""","""entertainment""",
"""IAB3""","""lifestyle""","""utilities""","""IAB14""",
"""IAB9""","""IAB5""","""IAB1""",,
"""IAB9-30""",,,,
"""IAB24""","""IAB14""",,,
"""IAB9-30""","""IAB9""","""games""","""IAB17""","""sports"""
"""IAB9-30""",,,,
"""IAB3""","""utilities""",,,
"""IAB1""",,,,
"""IAB1""","""IAB9""",,,
"""IAB3""","""productivity""",,,
"""IAB1""","""entertainment""",,,
"""IAB3""","""productivity""","""utilities""",,
"""social_networking""","""IAB24""",,,
"""IAB3""","""lifestyle""","""utilities""","""IAB14""",
"""IAB9-30""","""IAB1""","""entertainment""","""games""","""IAB9"""
"""IAB3""","""lifestyle""","""utilities""","""IAB14""",
"""IAB3""","""productivity""","""utilities""",,
"""IAB3""",,,,
"""IAB1""","""IAB9""",,,
"""social_networking""","""IAB24""","""lifestyle""","""IAB14""",
"""IAB3""","""productivity""","""utilities""",,
"""IAB9-30""",,,,
"""IAB3""","""utilities""",,,
"""IAB9-23""","""IAB9""","""photography""",,
"""IAB3""","""productivity""","""utilities""",,
"""IAB1""",,,,
"""IAB9""",,,,
"""IAB9-30""",,,,
"""IAB24""","""IAB14""",,,
"""IAB3""","""productivity""","""utilities""",,
"""IAB3""","""utilities""",,,
,,,,
"""IAB9-30""",,,,
"""IAB1""",,,,
"""IAB1""",,,,
"""IAB3""","""productivity""","""utilities""",,
"""IAB14""",,,,
"""IAB9-23""","""IAB1""","""photography""","""entertainment""","""IAB9"""
"""IAB9-30""",,,,
"""IAB3""","""utilities""",,,
"""social_networking""","""IAB24""","""lifestyle""","""IAB14""",
"""IAB1""",,,,
"""IAB3""","""utilities""",,,
"""social_networking""","""IAB24""",,,
"""IAB9-30""",,,,
"""IAB1""",,,,
"""IAB1""",,,,
"""IAB14-1""",,,,
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB1""",,,,
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB9-30""","""IAB1""","""entertainment""","""games""","""IAB9"""
"""IAB9-30""","""IAB9""",,,
"""IAB9-30""",,,,
"""IAB1""","""social_networking""","""IAB24""","""entertainment""",
"""IAB3""","""utilities""",,,
"""IAB3""","""utilities""",,,
"""IAB1""","""sports""","""IAB17""","""entertainment""",
"""IAB3""","""productivity""","""utilities""",,
"""IAB3""","""utilities""",,,
"""IAB3""","""productivity""","""utilities""",,
"""IAB9""",,,,
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB3""","""utilities""",,,
"""IAB3""","""utilities""",,,
"""IAB9-30""",,,,
"""IAB14""",,,,
"""healthcare_and_fitness""","""IAB7""",,,
"""healthcare_and_fitness""","""IAB7""",,,
"""IAB1""",,,,
"""IAB9-30""","""IAB1""","""entertainment""","""games""","""IAB9"""
"""IAB9-30""","""IAB9""","""games""",,
