iter	Passed	Remaining
0	208	104031
1	486	121176
2	592	98198
3	772	95826
4	1095	108406
5	1137	93686
6	1173	82658
7	1240	76261
8	1566	85465
9	1922	94213
10	2277	101263
11	2472	100532
12	2679	100360
13	3021	104874
14	3336	107864
15	3699	111894
16	4041	114831
17	4369	117014
18	4701	119015
19	5090	122167
20	5478	124957
21	5880	127771
22	6329	131264
23	6708	133059
24	7085	134630
25	7518	137064
26	7884	138117
27	8243	138965
28	8664	140731
29	9013	141208
30	9419	142504
31	9793	143228
32	10115	143143
33	10488	143759
34	10878	144529
35	11277	145351
36	11643	145696
37	12050	146514
38	12189	144085
39	12574	144602
40	12995	145487
41	13432	146476
42	13517	143659
43	13828	143311
44	14153	143109
45	14318	141313
46	14395	138748
47	14733	138743
48	15042	138448
49	15448	139037
50	15788	139001
51	16106	138763
52	16485	139035
53	16876	139389
54	17198	139155
55	17644	139897
56	17947	139489
57	18388	140133
58	18808	140586
59	19127	140269
60	19464	140080
61	19709	139239
62	20099	139417
63	20550	139996
64	20721	138674
65	21136	138988
66	21525	139115
67	21891	139077
68	22110	138107
69	22529	138392
70	22956	138711
71	23447	139382
72	23813	139290
73	23894	137554
74	24281	137596
75	24500	136687
76	24749	135961
77	25110	135855
78	25532	136064
79	25869	135815
80	26307	136083
81	26654	135873
82	26776	134528
83	27184	134628
84	27560	134561
85	27988	134735
86	28331	134491
87	28740	134559
88	29181	134760
89	29558	134653
90	29720	133579
91	30210	133976
92	30717	134431
93	31135	134477
94	31376	133761
95	31795	133807
96	32131	133495
97	32581	133650
98	32752	132662
99	33126	132504
100	33537	132489
101	33928	132389
102	34278	132123
103	34663	131987
104	35173	132320
105	35492	131923
106	35753	131317
107	36191	131362
108	36593	131267
109	36993	131157
110	37372	130972
111	37487	129866
112	37759	129316
113	38196	129333
114	38555	129078
115	39084	129382
116	39204	128335
117	39436	127668
118	39888	127709
119	40408	127961
120	41005	128438
121	41484	128533
122	41695	127799
123	42107	127681
124	42685	128055
125	43187	128192
126	43603	128064
127	44115	128210
128	44315	127449
129	44856	127667
130	45174	127247
131	45570	127046
132	45990	126905
133	46622	127341
134	46999	127071
135	47319	126648
136	47760	126548
137	48126	126244
138	48588	126190
139	48893	125725
140	49417	125822
141	49822	125608
142	50126	125141
143	50566	125012
144	50964	124775
145	51353	124513
146	51850	124512
147	52257	124288
148	52519	123721
149	52950	123551
150	53430	123492
151	53962	123544
152	54541	123698
153	54904	123357
154	55365	123233
155	55810	123070
156	56178	122733
157	56561	122430
158	57011	122270
159	57479	122144
160	57948	122016
161	58381	121808
162	58863	121698
163	59264	121420
164	59755	121320
165	60226	121178
166	60577	120792
167	61027	120602
168	61499	120450
169	61871	120103
170	62245	119759
171	62587	119353
172	62994	119070
173	63331	118654
174	63713	118325
175	64064	117936
176	64430	117577
177	64824	117267
178	65316	117131
179	65789	116959
180	66310	116867
181	66680	116508
182	67059	116163
183	67526	115969
184	67909	115629
185	68244	115208
186	68619	114855
187	69132	114730
188	69500	114362
189	69834	113941
190	70373	113851
191	70739	113478
192	71028	112983
193	71474	112738
194	71927	112501
195	72485	112425
196	72873	112084
197	73420	111984
198	74015	111952
199	74385	111577
200	74807	111280
201	75231	110985
202	75601	110608
203	76008	110286
204	76467	110038
205	76843	109669
206	77262	109362
207	77626	108975
208	77976	108569
209	78328	108167
210	78620	107684
211	78998	107318
212	79471	107080
213	79967	106872
214	80521	106738
215	80885	106348
216	81306	106036
217	81923	105975
218	82341	105652
219	82670	105217
220	83004	104788
221	83543	104617
222	84029	104377
223	84386	103975
224	84870	103730
225	85193	103287
